Test Cases,TEST CASE ID,Sample Summary
Authentication Testing,,
  Deep Link Email Sign-In (Success),TC-AUTH-01,Verify user can sign in using a valid native deep link from email.
  Deep Link Email Sign-In (Invalid/Expired Link),TC-AUTH-02,Verify error message and redirect to landing page on invalid link.
  Session Persistence on Restart,TC-AUTH-03,Verify app retains session and auto-routes to dashboard.
  Navigation Redirection (Protected Routes),TC-AUTH-04,Verify unauthenticated users are forced to Landing Page and cannot access protected screens.
  Logout Session Destruction,TC-AUTH-05,Verify session is destroyed in Supabase and local state is fully cleared.
Profile Configuration Testing,,
"  Update Profile Fields (Name, Phone, Delivery Address)",TC-PROF-01,"Editing and persisting profile name, phone, and delivery address."
  Avatar Upload & Supabase Storage Sync,TC-PROF-02,"Selecting a photo via picker, uploading to Supabase Storage, and rendering the updated avatar."
  Profile State Cache Reset on Account Switch,TC-PROF-03,Verifying that logging out/switching accounts invalidates the previous user profile cache.
Dashboard & Listings Testing,,
  Listings Feed Grid Load (Supabase Products DB),TC-LIST-01,Verify dashboard fetches and displays listings from Supabase products DB table.
  Listing Search Filter,TC-LIST-02,Verify search query filters listing items dynamically.
  Category Filter Navigation,TC-LIST-03,Verify clicking category tags displays only relevant listings.
  Product Detail Page Redirection,TC-LIST-04,"Verify correct details (price, description, owner contact) display on detail navigation."
Shopping Cart & Checkout Testing,,
  Add Food Listing to Cart,TC-CART-01,Verify user can add a food listing item to the cart.
  Update Item Quantities and Totals,TC-CART-02,Verify cart quantity increments/decrements work and calculate subtotal/total accurately.
  Remove Listing from Cart,TC-CART-03,Verify user can remove an item from the cart.
  Complete Order Checkout Flow,TC-CART-04,Verify user can enter info and submit cart checkout to record order.
Real-time Order Tracking Testing,,
  Socket Connection and Auto-Reconnect,TC-TRACK-01,Verify order tracking socket successfully establishes connection and reconnects on drop.
  Order Status Updates Sync (Buyer & Seller ends),TC-TRACK-02,Verify order status transitions sync dynamically on buyer and seller interfaces.
Real-time Buyer-Seller Chat Testing,,
  Room Creation from listing detail screen,TC-CHAT-01,Verify clicking Chat on a listing creates/opens a chat room between buyer and seller.
  Real-time Message Sync (Supabase Subscriptions),TC-CHAT-02,Verify message stream updates dynamically using Supabase Realtime.
  Chat Inbox active threads display,TC-CHAT-03,Verify inbox thread list displays active rooms with latest message snippet.
  Row-Level Security (RLS) Chat Room Access Controls,TC-CHAT-04,Verify that RLS prevents users from reading or writing messages in chat rooms they do not belong to.
Alerts & Notifications Testing,,
  Listing Alert Subscription (Keyword/Category),TC-ALRT-01,Verify user can subscribe to alerts for a keyword/category.
  New Listing Notification Database Trigger,TC-ALRT-02,Verify database trigger inserts notification records when new matching listings are published.
  Custom Toast Notification Overlay on Home,TC-ALRT-03,Verify new messages/alerts display a sliding toast alert overlay.
  Notification Center Badge & Read Marks,TC-ALRT-04,Verify notification center displays unread counts and markings update interactively.
Mobile UI & Accessibility Testing,,
"  App Bar, Navigation, and Theme layouts",TC-UI-01,"Verify layout elements, color scheme, and navigation bar are rendered correctly."
"  DBCS Character Inputs (Address, Profile Name fields)",TC-UI-02,Verify that double-byte characters are saved and displayed correctly in form fields.
  Toast and Snackbar confirmation notices,TC-UI-03,"Verify snackbar confirmations display on successful profile, cart, or subscription edits."
  Offline screen display indicators,TC-UI-04,Verify network connection loss shows a clear offline warning screen.
Connectivity Testing,,
  Network Switching (WiFi to Cellular LTE/5G),TC-CON-01,Verify app continues running and recovers session during network handover.
  Offline Mode operations,TC-CON-02,Verify app loads cached listings and displays error notices for server requests when offline.
  Android platform execution checks,TC-CON-03,Verify apk installs and runs without crashes on standard Android devices.
Security Testing,,
  Deep link Auth token validation checks,TC-SEC-01,Verify invalid/forged deep link email tokens are rejected.
  Row-Level Security (RLS) tables constraints validation,TC-SEC-02,Verify database restricts unauthorized CRUD operations on protected tables.
  Input XSS prevention on search & message fields,TC-SEC-03,Verify text field inputs strip or sanitize HTML injection payloads.
Performance Testing,,
  Listings list scroll frame rate latency,TC-PERF-01,Verify the listing scrolling is smooth (60fps) and loads pages lazily without lags.
  Application behavior under low battery/power modes,TC-PERF-02,Verify that app continues to sync state gracefully in power-saving mode.
  Out of disk storage error warnings,TC-PERF-03,Verify that app displays appropriate notifications when system storage is full.
